source,commit,file,bytes,sha256,license,url,cataloged_at
modood/Administrative-divisions-of-China,c49d495b40ac73eb1a66f6eeae5f8fd10696f035,data/raw/administrative-divisions-of-china/dist/provinces.csv,564,10e066e5e81c54726b05f0e42825064a7c3fb1d671c85635e467e34369034689,WTFPL,https://github.com/modood/Administrative-divisions-of-China,2026-07-10T07:29:03.575584+00:00
modood/Administrative-divisions-of-China,c49d495b40ac73eb1a66f6eeae5f8fd10696f035,data/raw/administrative-divisions-of-china/dist/cities.csv,7923,026aed4b6d29904259d854a6161a7c1769291836cb20678e03417ae575a1ef2f,WTFPL,https://github.com/modood/Administrative-divisions-of-China,2026-07-10T07:29:03.575584+00:00
modood/Administrative-divisions-of-China,c49d495b40ac73eb1a66f6eeae5f8fd10696f035,data/raw/administrative-divisions-of-china/dist/areas.csv,88382,042a7f886246a541fbbbbbe969ecb7429950f42704a1ff50a8edf9eb33380138,WTFPL,https://github.com/modood/Administrative-divisions-of-China,2026-07-10T07:29:03.575584+00:00
modood/Administrative-divisions-of-China,c49d495b40ac73eb1a66f6eeae5f8fd10696f035,data/raw/administrative-divisions-of-china/dist/streets.csv,1672142,b9d0a0c40ee619a421c1a714dd0a5be6f8f9f09bec84a32f9ec1077cfd0ba1a3,WTFPL,https://github.com/modood/Administrative-divisions-of-China,2026-07-10T07:29:03.575584+00:00
modood/Administrative-divisions-of-China,c49d495b40ac73eb1a66f6eeae5f8fd10696f035,data/raw/administrative-divisions-of-china/dist/villages.csv,38351132,8f68bd6f659b2227a00154dd9cdeb0f2a591b692b5078e8be60004ed29d4a581,WTFPL,https://github.com/modood/Administrative-divisions-of-China,2026-07-10T07:29:03.575584+00:00
modood/Administrative-divisions-of-China,c49d495b40ac73eb1a66f6eeae5f8fd10696f035,data/raw/administrative-divisions-of-china/dist/data.sqlite,59125760,02b89aab3e4e08daf1395ffa06cec9f372001dc0cd3fef1e462ce471f0ce8de3,WTFPL,https://github.com/modood/Administrative-divisions-of-China,2026-07-10T07:29:03.575584+00:00
xiangyuecn/AreaCity-JsSpider-StatsGov,c6c6e35bea3066d674efe2cded189dc57a86e7d8,data/raw/AreaCity-JsSpider-StatsGov/src/采集到的数据/ok_data_level3.csv,243986,0a79dd5ea8bf7f79313f545545fd9f42d1c232159ab694628ebba2b9da1cacc1,MIT,https://github.com/xiangyuecn/AreaCity-JsSpider-StatsGov,2026-07-10T07:29:03.575584+00:00
xiangyuecn/AreaCity-JsSpider-StatsGov,c6c6e35bea3066d674efe2cded189dc57a86e7d8,data/raw/AreaCity-JsSpider-StatsGov/src/采集到的数据/ok_data_level4.csv,3162087,6254f5dd40490dbe2ee5620c71dd334dcdb932be3230372707b3ddf9eaecfd37,MIT,https://github.com/xiangyuecn/AreaCity-JsSpider-StatsGov,2026-07-10T07:29:03.575584+00:00
xiangyuecn/AreaCity-JsSpider-StatsGov,c6c6e35bea3066d674efe2cded189dc57a86e7d8,data/raw/AreaCity-JsSpider-StatsGov/LICENSE,1088,1f973bafdf4edbb0b1e6c8005d4d0cc70160752904e9440f69f59427c885c5e2,MIT,https://github.com/xiangyuecn/AreaCity-JsSpider-StatsGov,2026-07-10T07:29:03.575584+00:00
xiangyuecn/AreaCity-JsSpider-StatsGov,c6c6e35bea3066d674efe2cded189dc57a86e7d8,data/raw/AreaCity-JsSpider-StatsGov/README.md,34153,436abfdf3a48d5de5a8464ece9ed6e499c14358e2a7c36616c3ee6741539ee6f,MIT,https://github.com/xiangyuecn/AreaCity-JsSpider-StatsGov,2026-07-10T07:29:03.575584+00:00
